Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,14.266711904907227,0,711,4269,3880,10567,28898
0,0,13.4952208404541,120,684,868,1940,5863
2,12.412511181640625,0,689,3375,4859,8635,28944
2,0,11.993223365783692,105,546,1020,1523,5823
3,10.906178146362304,0,632,2737,5696,6744,28988
3,0,10.71648639678955,107,428,1105,1171,5848
4,9.628746789550782,0,487,1834,6785,4599,28903
4,0,9.666445266723633,82,241,1333,720,5862
5,8.621486462402343,0,428,1041,7562,2383,28898
5,0,8.793703735351562,68,140,1402,334,5857
6,7.793442065429687,0,346,524,8205,794,28902
6,0,8.128723133087158,63,88,1484,133,5840
7,7.217239218139649,0,284,307,8410,227,28839
7,0,7.615078598022461,51,65,1482,56,5857
8,6.777688586425781,0,284,211,8642,147,28918
8,0,7.214434669494629,59,52,1487,49,5856
9,6.405525152587891,0,281,206,8634,93,28944
9,0,6.895814231872558,54,43,1519,24,5864
10,6.099479498291015,0,288,180,8613,93,28920
10,0,6.714010147094727,49,44,1488,22,5851
11,5.83738787689209,0,282,172,8719,83,28966
11,0,6.455695743560791,43,54,1488,21,5849
12,5.5886494926452635,0,296,184,8648,70,28849
12,0,6.285294448852539,52,35,1539,17,5856
13,5.4389728256225585,0,275,184,8852,60,29047
13,0,6.179866317749023,47,57,1493,26,5887
14,5.276413626098633,0,299,184,8812,68,28873
14,0,5.990454879760742,42,35,1527,19,5841
15,5.130616522216797,0,280,204,8775,69,28936
15,0,5.924306125640869,53,50,1479,27,5853
16,5.005727983093261,0,278,168,8881,71,28921
16,0,5.852003147125244,47,43,1510,27,5858
17,4.925405913543702,0,287,171,8835,78,28917
17,0,5.761552314758301,50,51,1485,27,5867
18,4.842668247222901,0,298,173,8877,59,28971
18,0,5.727315315246582,48,50,1470,27,5874
19,4.747163626098633,0,294,179,8887,61,28920
19,0,5.637931268692016,46,51,1457,26,5851
20,4.667517551422119,0,281,182,8958,76,28913
20,0,5.593565658569336,49,47,1479,17,5874
21,4.617736343383789,0,294,202,8879,87,28930
21,0,5.519793109893799,44,43,1472,36,5823
22,4.5677586315155025,0,291,190,8980,86,28947
22,0,5.528954010009766,51,41,1466,28,5844
23,4.530811479949951,0,284,180,8977,80,28904
23,0,5.46536682510376,47,51,1451,35,5865
24,4.456976443481445,0,315,187,9017,71,28897
24,0,5.455774082183838,48,49,1441,26,5844
25,4.407991967010498,0,301,211,9080,86,28903
25,0,5.422159671783447,49,45,1481,25,5836
26,4.3813732040405275,0,304,211,9121,82,28932
26,0,5.381041622161865,60,52,1436,28,5830
27,4.35847031364441,0,315,236,9002,64,28880
27,0,5.391039760589599,40,42,1444,27,5867
28,4.307016535949707,0,326,239,9096,81,28898
28,0,5.379032962799072,51,57,1397,55,5838
29,4.282883220672607,0,330,234,9047,86,28893
29,0,5.34371049118042,47,55,1443,47,5841
30,4.271301938629151,0,328,237,9173,102,28947
30,0,5.312960777282715,49,57,1417,36,5820
31,4.238085589599609,0,321,245,9120,118,28856
31,0,5.329129291534424,55,64,1399,50,5832
32,4.214700092315674,0,325,240,9214,116,28953
32,0,5.393991115570068,51,49,1420,39,5858
33,4.206511874389649,0,321,259,9105,99,28926
33,0,5.327971870422363,40,50,1417,40,5859
34,4.175717723846436,0,340,266,9122,131,28919
34,0,5.327949974060059,49,55,1410,52,5839
35,4.17117986831665,0,360,276,8955,117,28950
35,0,5.265676879882813,49,50,1456,54,5833
36,4.142198351287842,0,352,248,9162,112,28941
36,0,5.345889884948731,52,65,1390,50,5869
37,4.13079326171875,0,338,312,9115,124,28932
37,0,5.276707197189331,43,65,1406,41,5848
38,4.116040029907227,0,340,280,9179,129,28950
38,0,5.296240779876709,51,68,1457,57,5858
39,4.114041418457031,0,352,271,9076,144,28908
39,0,5.28525611114502,50,77,1442,58,5876
40,4.224363352966309,0,322,310,8790,148,28894
40,0,5.019494590759277,46,48,1484,27,5841
41,3.9677828704833984,0,355,299,8975,169,28917
41,0,5.011641567230225,49,56,1463,30,5857
42,3.8054760925292967,0,420,352,9082,171,28946
42,0,5.026697647094727,62,83,1457,71,5882
43,3.696227632141113,0,428,406,9229,197,28943
43,0,5.003690643310547,64,74,1471,59,5892
44,3.573819383239746,0,485,391,9393,225,28963
44,0,4.920012218475342,60,70,1448,48,5855
45,3.4751906326293946,0,514,455,9458,263,28919
45,0,5.015866577148437,53,65,1399,56,5879
46,3.377692700576782,0,577,502,9544,227,28893
46,0,4.954224979400634,47,67,1504,59,5862
47,3.293186776351929,0,650,534,9510,270,28947
47,0,4.9855536842346195,58,60,1524,48,5882
48,3.2329262168884276,0,668,596,9672,275,29003
48,0,4.959938495635987,64,85,1387,73,5853
49,3.1495930793762206,0,762,588,9594,286,28930
49,0,4.95447993850708,64,82,1330,70,5841
50,3.1026928760528563,0,832,636,9739,283,28965
50,0,4.921994342803955,48,65,1413,68,5823
