Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes
1,14.830439031982422,0,589,3937,3208,6530,21872
1,0,13.513202804565429,123,570,823,1042,4348
2,12.015472262573242,0,639,2398,4633,4177,21849
2,0,11.056106956481933,111,398,1010,732,4340
3,10.525229222106933,0,563,2012,5082,3200,21871
3,0,9.751367607116698,124,342,1032,552,4355
4,9.420642791748048,0,546,1704,5503,2816,21791
4,0,9.026359542846679,81,272,1142,501,4322
5,8.517233145141601,0,449,1466,5765,2335,21795
5,0,8.070071327209472,84,252,1171,441,4299
6,7.817982614135742,0,450,1295,6005,1980,21888
6,0,7.561775527954102,85,179,1235,306,4328
7,7.226812246704101,0,446,1094,6097,1818,21897
7,0,6.921511001586914,77,171,1276,280,4305
8,6.7337404830932615,0,413,1012,6250,1664,21871
8,0,6.624184066772461,83,166,1264,261,4336
9,6.30132117767334,0,378,899,6367,1402,21839
9,0,6.476688987731934,69,154,1246,245,4308
10,5.953023111724853,0,373,772,6562,1151,21861
10,0,5.882792839050293,77,150,1267,169,4305
11,5.585132270812989,0,369,589,6657,751,21975
11,0,5.620181503295899,65,110,1315,132,4310
12,5.334112088012695,0,344,454,6670,584,21837
12,0,5.537712265014648,56,83,1326,99,4315
13,5.1155490219116215,0,317,399,6787,482,22000
13,0,5.082489276885986,59,58,1327,71,4332
14,4.967774848937989,0,314,404,6848,418,21836
14,0,5.284796798706055,53,78,1353,80,4340
15,4.821056899261475,0,294,376,6900,410,21844
15,0,4.902849739074707,65,67,1410,75,4345
16,4.664256198120118,0,328,348,7000,392,21823
16,0,4.7122699127197265,59,65,1335,67,4302
17,4.593353427124024,0,334,355,6987,387,21815
17,0,4.91750936126709,62,68,1335,74,4294
18,4.4040149963378905,0,318,333,6983,332,21796
18,0,4.540763236999512,59,65,1328,61,4278
19,4.319382362365722,0,316,347,6970,322,21815
19,0,4.392319137573242,59,57,1369,40,4310
20,4.267625996398926,0,337,358,6981,336,22014
20,0,4.288510242462158,53,60,1368,53,4329
21,4.1106716796875,0,316,340,7125,278,21806
21,0,4.300340538024902,54,64,1371,46,4331
22,4.002720716094971,0,319,348,7101,258,21799
22,0,4.224369485855102,64,71,1317,72,4355
23,3.9574256393432616,0,351,362,7028,263,21922
23,0,4.144622585296631,62,71,1366,51,4326
24,3.8801907196044922,0,357,335,7044,281,21920
24,0,4.049518367767334,56,56,1386,34,4351
25,3.8028569122314453,0,334,349,7233,275,21850
25,0,4.002906360626221,57,73,1418,59,4335
26,3.7526661308288576,0,330,347,6994,266,21879
26,0,4.060268932342529,57,61,1375,30,4346
27,3.6817677238464355,0,333,359,7135,266,21888
27,0,3.9308799896240236,53,55,1424,41,4307
28,3.5241494766235353,0,336,360,7022,244,21895
28,0,3.7114646148681643,53,68,1364,35,4330
29,3.387072019958496,0,359,332,7129,192,21896
29,0,3.6707629947662355,63,70,1392,53,4349
30,3.3003394622802733,0,370,325,7235,175,21902
30,0,3.599420249938965,60,72,1379,34,4330
31,3.2518620666503906,0,376,325,7370,180,21877
31,0,3.598279426574707,64,61,1338,30,4345
32,3.2309669723510743,0,357,324,7225,199,21852
32,0,3.496635335922241,46,61,1362,29,4291
33,3.18487706451416,0,398,376,7215,172,21898
33,0,3.4797726802825926,57,66,1369,24,4312
34,3.1687428974151612,0,393,358,7153,213,21828
34,0,3.5541483211517333,74,89,1321,28,4366
35,3.134528074645996,0,377,377,7180,239,21783
35,0,3.488104009628296,51,61,1358,40,4348
36,3.109558415222168,0,371,415,7239,243,21830
36,0,3.5441559810638426,54,68,1347,43,4322
37,3.102269384765625,0,406,413,7133,242,21917
37,0,3.4963022232055665,53,65,1326,37,4346
38,3.084571732330322,0,400,435,7188,245,21884
38,0,3.5201870269775393,64,71,1366,58,4319
39,3.069550128173828,0,405,411,7200,217,21822
39,0,3.4814319553375244,58,56,1357,40,4288
40,3.0852869766235353,0,406,415,7157,278,21876
40,0,3.4202007598876953,53,83,1320,70,4353
41,3.016376847076416,0,456,445,7097,264,21998
41,0,3.2910506019592285,80,89,1360,48,4322
42,2.952780185317993,0,495,471,7100,252,21878
42,0,3.3148751945495607,50,62,1402,31,4354
43,2.891066313934326,0,523,511,7030,300,21856
43,0,3.318621500015259,59,94,1349,65,4336
44,2.847670878982544,0,525,530,7075,290,21818
44,0,3.1965110359191895,62,72,1407,46,4317
45,2.830933878326416,0,554,580,7054,311,21852
45,0,3.322996591567993,62,65,1333,50,4320
46,2.7885990570068357,0,551,589,7073,352,21862
46,0,3.237506576538086,73,104,1358,68,4303
47,2.7777579345703125,0,596,596,6997,333,21889
47,0,3.194844673156738,65,64,1381,44,4346
48,2.714128503036499,0,591,681,7067,346,21750
48,0,3.157534942626953,80,117,1324,58,4330
49,2.714576731109619,0,663,664,6978,319,21859
49,0,3.129126419067383,62,78,1399,40,4300
50,2.711533420562744,0,664,739,6916,355,21942
50,0,3.178180156707764,73,102,1338,56,4341
51,2.6597956798553466,0,704,730,6995,343,21882
51,0,3.1738432655334474,105,106,1323,72,4358
52,2.6426183807373045,0,721,767,6903,357,21855
52,0,3.0642440357208254,65,68,1411,44,4295
53,2.62386298789978,0,746,808,6882,370,21844
53,0,3.1037506523132325,78,89,1371,64,4341
54,2.605268229103088,0,781,885,6814,421,21902
54,0,3.070437294006348,90,109,1336,51,4323
55,2.5754763118743895,0,773,935,6956,352,21864
55,0,3.124824920654297,87,105,1312,66,4367
56,2.555760523223877,0,860,913,6788,379,21871
56,0,3.051036205291748,95,142,1282,82,4291
57,2.5614698993682863,0,847,973,6843,445,21956
57,0,3.0266972999572754,95,110,1282,74,4307
58,2.5189154804229736,0,889,970,6816,385,21846
58,0,3.0550307235717775,81,110,1299,66,4319
59,2.4848069118499754,0,900,1049,6692,468,21829
59,0,3.0120751342773437,86,132,1334,62,4312
60,2.4824564651489256,0,958,1014,6617,463,21804
60,0,3.032768772125244,97,136,1323,72,4313
