Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,21.18014144897461,0,0,7,0,7,16,52
0,0,12.703901290893555,0,0,0,16,0,62
5,11.83776569366455,0,0,2,0,1,3,52
5,0,18.236024856567383,0,0,0,3,3,58
10,11.45740795135498,0,0,0,0,9,0,53
10,0,23.157438278198242,0,0,0,4,0,65
15,11.125802040100098,0,0,0,0,6,0,52
15,0,22.17123031616211,0,0,0,2,0,60
20,12.122611045837402,0,0,0,0,4,0,53
20,0,24.007740020751953,0,0,0,2,0,67
25,12.25963306427002,0,0,0,0,5,0,52
25,0,22.23479461669922,0,0,0,4,0,63
30,12.146627426147461,0,0,0,0,6,0,51
30,0,22.583467483520508,0,0,0,2,0,62
35,12.99068832397461,0,0,0,0,3,0,52
35,0,22.281837463378906,0,0,0,3,0,62
40,12.374429702758789,0,0,0,0,7,0,53
40,0,22.638835906982422,0,0,0,4,0,61
45,12.47454833984375,0,0,0,0,5,0,52
45,0,21.397268295288086,0,0,0,4,0,62
50,12.376692771911621,0,0,0,0,7,0,52
50,0,23.46772003173828,0,0,0,6,0,68
55,12.056297302246094,0,0,0,0,3,0,52
55,0,23.86902618408203,0,0,0,7,0,66
60,12.852751731872559,0,0,0,0,3,0,53
60,0,21.782852172851562,0,0,0,8,0,64
65,12.137643814086914,0,0,0,0,6,0,52
65,0,20.467355728149414,0,0,0,8,0,67
70,12.761767387390137,0,0,0,0,6,0,53
70,0,22.045795440673828,0,0,0,7,0,61
75,10.819884300231934,0,0,0,0,5,0,52
75,0,21.559795379638672,0,0,0,7,0,63
80,11.71963882446289,0,0,0,0,6,0,52
80,0,23.636350631713867,0,0,0,6,0,67
85,12.45450210571289,0,0,0,0,7,0,52
85,0,22.291444778442383,0,0,0,4,0,63
90,12.343334197998047,0,0,0,0,6,0,52
90,0,22.13744354248047,0,0,0,6,0,66
95,11.843225479125977,0,0,0,0,6,0,51
95,0,23.095577239990234,0,0,0,3,0,61
100,13.101746559143066,0,0,0,0,4,0,52
100,0,22.803646087646484,0,0,0,6,0,67
105,13.643645286560059,0,0,0,0,4,0,52
105,0,22.140222549438477,0,0,0,4,0,62
110,12.721556663513184,0,0,0,0,7,0,52
110,0,23.529930114746094,0,0,0,5,0,68
115,12.210177421569824,0,0,0,0,6,0,51
115,0,22.796924591064453,0,0,0,3,0,64
120,12.501751899719238,0,0,0,0,4,0,50
120,0,23.235984802246094,0,0,0,6,0,65
125,12.633735656738281,0,0,0,0,6,0,52
125,0,25.076807022094727,0,0,0,4,0,69
130,11.937338829040527,0,0,0,0,7,0,52
130,0,23.632253646850586,0,0,0,5,0,65
135,12.433005332946777,0,0,0,0,3,0,51
135,0,24.51569175720215,0,0,0,5,0,67
140,12.889410972595215,0,0,0,0,5,0,52
140,0,20.821279525756836,0,0,0,5,0,60
145,12.770044326782227,0,0,0,0,4,0,52
145,0,22.010801315307617,0,0,0,3,0,63
150,11.696223258972168,0,0,0,0,5,0,52
150,0,21.669382095336914,0,0,0,4,0,62
155,13.454387664794922,0,0,0,0,5,0,52
155,0,24.201190948486328,0,0,0,4,0,68
160,12.4549560546875,0,0,0,0,7,0,52
160,0,22.4246826171875,0,0,0,5,0,60
165,14.053217887878418,0,0,0,0,8,0,54
165,0,22.580080032348633,0,0,0,7,0,66
170,12.238303184509277,0,0,0,0,7,0,52
170,0,22.87906837463379,0,0,0,4,0,68
175,12.772799491882324,0,0,0,0,5,0,52
175,0,22.53756332397461,0,0,0,4,0,63
180,13.303792953491211,0,0,0,0,5,0,52
180,0,23.358842849731445,0,0,0,5,0,64
185,12.189533233642578,0,0,0,0,4,0,52
185,0,21.69322395324707,0,0,0,6,0,66
