Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,19.416946411132812,0,0,6,0,8,23,51
0,0,11.825713157653809,0,0,0,23,0,69
10,5.420292377471924,0,2,4,0,5,5,52
10,0,19.206850051879883,0,0,0,6,0,73
20,7.083951473236084,0,2,6,0,3,3,53
20,0,20.04054069519043,0,0,0,5,0,66
30,5.207379341125488,0,3,4,0,5,6,52
30,0,19.913591384887695,0,1,0,4,1,71
40,5.414803504943848,0,2,6,0,4,7,50
40,0,18.964326858520508,0,0,0,5,1,70
50,4.986319065093994,0,2,7,0,6,6,52
50,0,20.0736083984375,0,1,0,6,1,73
60,5.798882484436035,0,2,3,0,8,8,51
60,0,19.710844039916992,0,1,0,4,1,71
70,6.0248284339904785,0,2,6,0,6,7,52
70,0,17.65489959716797,0,1,0,11,1,67
80,4.153446674346924,0,2,6,0,10,6,52
80,0,18.052682876586914,0,1,0,7,1,70
90,4.916194438934326,0,2,7,0,8,8,53
90,0,17.484546661376953,0,1,0,8,1,71
100,3.952566385269165,0,2,7,0,4,8,52
100,0,15.624547958374023,0,1,0,11,1,68
110,2.909331798553467,0,4,5,0,4,8,53
110,0,15.439803123474121,0,0,0,12,1,69
120,3.7872085571289062,0,2,5,0,7,7,52
120,0,16.357995986938477,0,0,0,13,1,73
130,4.039350509643555,0,2,5,0,7,8,52
130,0,15.394298553466797,0,1,0,13,1,70
140,2.8063132762908936,0,2,7,0,11,7,52
140,0,15.308561325073242,0,0,0,11,2,72
150,2.084810495376587,0,4,6,0,9,8,53
150,0,15.798927307128906,0,0,0,8,1,72
160,3.121198892593384,0,6,4,0,8,6,51
160,0,15.297853469848633,0,0,0,11,1,67
170,2.6469826698303223,0,3,5,0,12,4,53
170,0,15.562627792358398,0,0,0,10,0,72
180,1.5875378847122192,0,4,5,0,18,5,53
180,0,14.843786239624023,0,0,0,10,0,70
190,2.0974056720733643,0,4,6,0,15,4,52
190,0,14.574334144592285,0,0,0,14,0,70
200,1.4716496467590332,0,6,6,0,13,2,52
200,0,16.107135772705078,0,0,0,13,0,73
210,1.8275539875030518,0,7,4,0,14,1,53
210,0,14.606575965881348,0,0,0,10,0,73
220,1.6096007823944092,0,7,3,0,21,1,52
220,0,13.548103332519531,0,0,0,11,0,72
230,1.5197861194610596,0,6,5,0,16,0,52
230,0,15.545307159423828,0,0,0,9,0,73
240,1.4103400707244873,0,9,5,0,17,1,52
240,0,12.51308822631836,0,0,0,15,0,68
250,1.4388792514801025,0,7,6,0,15,1,52
250,0,13.345741271972656,0,0,0,12,0,67
260,1.0588496923446655,0,11,2,0,15,1,52
260,0,14.207408905029297,0,0,0,12,0,71
270,1.1624462604522705,0,7,7,0,15,2,52
270,0,14.672506332397461,0,0,0,16,0,70
280,0.9076703786849976,0,10,5,0,17,1,51
280,0,13.355756759643555,0,0,0,13,0,67
290,1.0557609796524048,0,13,3,0,18,0,51
290,0,14.06686019897461,0,0,0,9,0,71
300,0.9219062328338623,0,9,3,0,20,2,54
300,0,13.414588928222656,0,0,0,13,0,67
310,1.3258016109466553,0,9,2,0,15,3,52
310,0,13.41773796081543,0,0,0,12,0,68
320,1.0756109952926636,0,8,5,0,16,1,51
320,0,14.4058198928833,0,0,0,14,0,73
330,0.5919157862663269,0,10,6,0,18,2,52
330,0,13.35363483428955,0,0,0,12,0,69
340,0.6895402669906616,0,11,2,0,22,1,51
340,0,14.351929664611816,0,0,0,11,0,71
350,0.7954755425453186,0,10,3,0,22,2,51
350,0,13.852912902832031,0,0,0,10,0,70
360,0.9210219383239746,0,11,2,0,25,1,52
