Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
1,5.1433,0,164,118,0,7630,35,29348
1,0,5.0908,38,28,0,1511,11,5907
2,5.0610,0,172,164,0,7663,31,29321
2,0,5.0532,39,23,0,1505,17,5883
3,4.9628,0,202,180,0,7790,48,29265
3,0,5.0919,44,32,0,1565,13,5913
4,4.9320,0,184,176,0,7855,59,29336
4,0,5.0100,55,76,0,1434,42,5895
5,4.9008,0,238,215,0,7951,75,29388
5,0,5.0318,47,64,0,1482,34,5916
6,4.8687,0,232,234,0,7964,69,29382
6,0,5.0453,64,98,0,1463,50,5936
7,4.8216,0,218,176,0,8037,57,29352
7,0,5.0015,40,61,0,1519,43,5874
8,4.7836,0,210,223,0,8102,95,29319
8,0,5.0450,38,36,0,1588,37,5939
9,4.7511,0,216,190,0,8112,84,29300
9,0,4.9866,52,56,0,1525,50,5888
10,4.7407,0,236,247,0,8142,105,29338
10,0,5.0472,52,52,0,1528,35,5935
11,4.7192,0,246,255,0,8138,111,29318
11,0,5.0217,59,59,0,1513,50,5939
12,4.6983,0,212,226,0,8267,109,29340
12,0,4.9843,50,64,0,1503,45,5907
13,4.6895,0,248,245,0,8182,111,29363
13,0,5.0473,58,73,0,1474,55,5937
14,4.6619,0,227,261,0,8351,113,29396
14,0,5.0643,62,78,0,1489,58,5945
15,4.6401,0,231,207,0,8426,126,29287
15,0,5.0866,53,80,0,1526,64,5922
16,4.6563,0,271,265,0,8269,127,29463
16,0,5.0759,45,64,0,1479,47,5932
17,4.6110,0,245,243,0,8377,148,29286
17,0,4.9681,54,84,0,1496,52,5920
18,4.6093,0,242,313,0,8369,142,29384
18,0,5.0338,64,78,0,1592,65,5920
19,4.5905,0,237,291,0,8437,130,29402
19,0,5.0732,52,92,0,1481,100,5914
20,4.5465,0,242,215,0,8339,134,29349
20,0,4.6811,49,87,0,1593,62,5914
21,4.3327,0,276,267,0,8473,136,29418
21,0,4.5704,48,65,0,1565,48,5890
22,4.1789,0,299,313,0,8566,169,29362
22,0,4.5202,56,74,0,1572,79,5902
23,4.0453,0,333,370,0,8690,196,29257
23,0,4.4506,59,83,0,1617,74,5928
24,3.9398,0,326,406,0,8890,228,29327
24,0,4.4308,57,75,0,1616,59,5927
