Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes
1,16.276585220336916,0,581,3711,3637,10872,28976
1,0,14.222670349121094,114,590,892,1723,5932
2,13.010523403930664,0,576,2476,4908,7243,28991
2,0,12.445139739990234,82,458,1013,1361,5956
3,11.517147030639649,0,504,1943,5387,5857,29006
3,0,11.062292694091797,93,359,1107,1008,5888
4,10.347767848205567,0,501,1592,5612,5042,28950
4,0,10.213680404663085,86,293,1194,872,5943
5,9.427614303588868,0,479,1476,5894,4500,29047
5,0,9.348319892883302,68,202,1175,777,5924
6,8.654128398132324,0,438,1223,6106,3856,29021
6,0,8.613392898559571,61,183,1245,630,5932
7,8.045673858642578,0,396,1060,6206,3452,29008
7,0,8.181517570495606,51,179,1291,560,5947
8,7.489149435424805,0,381,996,6346,3069,28967
8,0,7.70187022781372,47,150,1292,467,5943
9,7.086035794067382,0,361,888,6546,2777,28999
9,0,7.417271293640137,43,130,1322,496,5916
10,6.634899261474609,0,327,884,6622,2494,28921
10,0,7.031343681335449,45,85,1389,366,5943
11,6.314365100097656,0,352,797,6865,2401,28932
11,0,7.0147642974853515,50,130,1245,443,5910
12,6.039284156799316,0,376,815,6745,2358,28940
12,0,6.679619453430176,50,129,1319,384,5916
13,5.790107884216309,0,359,808,6668,2293,28958
13,0,6.509477615356445,43,105,1334,324,5925
14,5.553377838134765,0,372,771,6859,1873,29060
14,0,6.392893562316894,40,109,1323,262,5960
15,5.285597473907471,0,367,661,6977,1642,28970
15,0,6.318374038696289,41,77,1317,266,5934
16,5.132698887634278,0,387,709,7118,1432,28961
16,0,6.149159996032715,44,104,1385,207,5927
17,4.975037928771973,0,366,675,7105,1372,28970
17,0,6.1239203910827635,38,74,1378,207,5927
18,4.793420338439941,0,365,582,7286,1151,28949
18,0,6.081128692626953,38,77,1358,253,5912
19,4.67140034866333,0,393,530,7340,1049,29043
19,0,5.93339656829834,30,64,1369,153,5937
20,4.544094155883789,0,393,525,7374,1016,29005
20,0,5.911254199981689,35,76,1277,187,5937
