Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,22.02126693725586,0,0,6,0,9,17,52
0,0,20.529247283935547,1,8,0,1,18,46
10,8.421194076538086,0,8,10,0,5,24,53
10,0,17.27358627319336,0,4,0,12,10,45
20,3.8546814918518066,0,10,12,0,9,14,52
20,0,9.185879707336426,0,0,0,11,4,43
30,2.283043622970581,0,11,5,0,11,15,52
30,0,8.05798053741455,0,0,0,15,0,44
40,2.402519702911377,0,7,11,0,10,9,52
40,0,7.505460262298584,0,0,0,14,0,45
50,1.3373972177505493,0,12,7,0,6,14,52
50,0,7.3019561767578125,0,0,0,12,0,44
60,1.8223150968551636,0,9,9,0,12,7,51
60,0,6.975174427032471,0,0,0,10,0,43
70,1.3469468355178833,0,12,13,0,12,6,51
70,0,7.353226661682129,0,0,0,18,0,45
80,1.4749423265457153,0,11,14,0,8,7,53
80,0,7.168320178985596,0,0,0,14,0,44
90,1.4008153676986694,0,12,8,0,18,6,52
90,0,7.475577354431152,0,0,0,13,0,45
100,1.2055859565734863,0,16,8,0,15,3,52
100,0,7.527891635894775,0,0,0,16,0,45
110,1.2476396560668945,0,18,8,0,9,4,53
110,0,7.421520709991455,0,0,0,13,0,45
120,1.377750039100647,0,17,6,0,11,5,51
120,0,7.66728401184082,0,0,0,15,0,46
130,1.2501506805419922,0,19,7,0,9,2,52
130,0,7.28160285949707,0,0,0,7,0,44
140,1.1083582639694214,0,21,4,0,9,5,51
140,0,7.253320693969727,0,0,0,12,0,44
150,1.2543381452560425,0,18,5,0,14,3,52
150,0,7.928949356079102,0,0,0,11,0,46
160,1.465382695198059,0,19,5,0,11,4,53
160,0,7.158454895019531,0,0,0,13,0,44
170,1.8548719882965088,0,17,6,0,12,2,52
170,0,7.221367359161377,0,0,0,14,0,44
180,1.1222691535949707,0,20,5,0,16,3,53
180,0,7.314302444458008,0,0,0,11,0,44
190,1.2994248867034912,0,17,9,0,13,2,52
190,0,7.212772369384766,0,0,0,11,0,43
200,1.145263910293579,0,17,5,0,15,8,53
200,0,7.2533955574035645,0,0,0,10,0,44
210,1.1372846364974976,0,20,6,0,12,3,50
210,0,7.044665336608887,0,0,0,13,0,44
220,0.9854298830032349,0,19,8,0,11,2,51
220,0,7.098176002502441,0,0,0,17,0,45
230,1.3263511657714844,0,17,8,0,8,3,51
230,0,7.1488566398620605,0,0,0,16,0,45
240,1.4180567264556885,0,17,7,0,13,3,52
240,0,7.240161895751953,0,0,0,16,0,45
250,1.293439269065857,0,18,7,0,10,5,52
250,0,7.891739845275879,0,0,0,12,0,46
260,1.1832082271575928,0,17,9,0,9,5,50
260,0,6.786545276641846,0,0,0,13,0,43
270,1.1571412086486816,0,17,8,0,13,4,52
270,0,7.355563640594482,0,0,0,12,0,45
280,1.0665063858032227,0,17,5,0,16,5,52
280,0,7.4214677810668945,0,0,0,10,0,43
290,0.9569666981697083,0,21,6,0,10,4,52
290,0,7.081566333770752,0,0,0,14,0,43
300,1.3013861179351807,0,20,6,0,11,5,52
300,0,7.8967366218566895,0,0,0,13,0,46
310,1.0369199514389038,0,20,5,0,9,6,52
310,0,7.055242538452148,0,1,0,16,0,45
320,1.461007833480835,0,16,7,0,15,6,53
320,0,6.95783805847168,0,0,0,12,1,44
330,0.9137449264526367,0,21,6,0,10,4,52
330,0,6.989521503448486,0,1,0,13,0,44
340,0.873195469379425,0,21,9,0,5,4,51
340,0,7.934596061706543,0,0,0,12,1,46
350,1.0182995796203613,0,19,9,0,8,4,52
350,0,7.473508834838867,0,1,0,13,0,44
360,0.9424392580986023,0,16,10,0,11,5,51
360,0,7.606744289398193,0,1,0,13,1,45
370,1.0281237363815308,0,17,10,0,12,3,53
370,0,7.06203556060791,0,0,0,8,2,42
380,0.8323842287063599,0,23,7,0,7,3,54
380,0,7.331289291381836,0,0,0,16,2,44
390,1.2293777465820312,0,17,8,0,12,4,52
390,0,7.828835964202881,0,0,0,10,1,45
400,1.0215572118759155,0,14,14,0,6,5,52
400,0,7.546506881713867,0,0,0,14,1,44
410,0.7112659811973572,0,16,11,0,14,6,53
410,0,8.032230377197266,0,0,0,13,1,46
420,1.3314273357391357,0,16,9,0,9,4,51
420,0,7.378483772277832,0,1,0,13,0,44
430,0.6489810347557068,0,19,11,0,8,4,52
430,0,7.460514545440674,0,1,0,13,0,43
440,0.6954789161682129,0,23,6,0,7,5,51
440,0,8.337272644042969,0,0,0,12,2,46
450,1.0846834182739258,0,17,13,0,7,5,52
450,0,7.485853672027588,0,1,0,8,1,44
