Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,22.36157989501953,0,1,1,0,9,25,52
0,0,18.226093292236328,1,6,0,4,17,38
10,9.068038940429688,0,7,7,0,2,32,52
10,0,13.125608444213867,0,3,0,10,7,39
20,4.748682498931885,0,6,10,0,3,29,51
20,0,8.455491065979004,0,0,0,13,1,40
30,2.7975916862487793,0,6,13,0,8,18,52
30,0,7.522272109985352,0,0,0,13,0,40
40,2.0700764656066895,0,8,10,0,11,15,52
40,0,6.865226745605469,0,0,0,14,0,39
50,2.2428345680236816,0,7,9,0,12,14,52
50,0,6.704735279083252,0,0,0,16,0,38
60,1.8647797107696533,0,7,12,0,10,10,52
60,0,6.603278636932373,0,0,0,15,0,40
70,1.7016980648040771,0,11,10,0,14,8,51
70,0,6.283369541168213,0,0,0,14,0,39
80,1.3427437543869019,0,12,7,0,14,8,53
80,0,6.461626052856445,0,0,0,13,0,39
90,2.071859836578369,0,8,9,0,14,7,52
90,0,6.5062055587768555,0,0,0,14,0,40
100,1.0919084548950195,0,14,9,0,12,7,53
100,0,7.073719024658203,0,0,0,15,0,40
110,1.1838388442993164,0,15,8,0,14,6,52
110,0,7.197581768035889,0,0,0,12,0,39
120,1.1610004901885986,0,13,9,0,12,6,52
120,0,6.045047283172607,0,0,0,13,0,39
130,1.3006107807159424,0,12,10,0,15,6,52
130,0,5.685628890991211,0,0,0,15,0,38
140,1.0483096837997437,0,14,5,0,15,8,53
140,0,6.991523265838623,0,0,0,14,0,39
150,1.5870018005371094,0,10,9,0,13,6,51
150,0,6.229930400848389,0,0,0,16,0,37
160,1.2951802015304565,0,12,7,0,13,5,51
160,0,6.521318435668945,0,0,0,15,0,40
170,1.5269187688827515,0,13,9,0,10,7,51
170,0,6.035008907318115,0,0,0,12,0,37
180,1.1990084648132324,0,16,10,0,12,3,53
180,0,6.530600547790527,0,0,0,14,0,38
190,1.3854790925979614,0,14,6,0,19,5,51
190,0,7.085744380950928,0,0,0,14,0,40
200,1.0170423984527588,0,15,7,0,14,8,51
200,0,6.8127570152282715,0,0,0,11,0,37
210,1.43907630443573,0,14,8,0,12,5,52
210,0,7.156099319458008,0,0,0,10,0,39
220,1.120397925376892,0,17,6,0,13,7,52
220,0,6.532387733459473,0,0,0,11,0,39
230,0.8913793563842773,0,14,11,0,13,3,51
230,0,7.040323257446289,0,0,0,13,0,40
240,1.099151372909546,0,15,9,0,16,5,53
240,0,7.637529373168945,0,0,0,12,0,41
250,1.263842225074768,0,13,9,0,15,7,52
250,0,6.400696754455566,0,0,0,11,0,39
260,1.0882776975631714,0,12,8,0,13,6,51
260,0,6.596951007843018,0,0,0,14,0,37
270,0.9660828113555908,0,14,10,0,15,6,52
270,0,6.403321266174316,0,0,0,10,0,38
280,0.8282448053359985,0,20,6,0,14,4,52
280,0,7.257428169250488,0,0,0,15,0,38
290,1.122612714767456,0,15,7,0,12,6,53
290,0,6.976531982421875,0,0,0,14,0,41
300,0.8355505466461182,0,15,10,0,12,6,53
300,0,6.63879919052124,0,0,0,15,0,38
310,0.8274123072624207,0,17,6,0,12,4,51
310,0,6.289683818817139,0,0,0,13,0,38
320,0.6600488424301147,0,18,8,0,11,5,51
320,0,7.224174499511719,0,0,0,10,0,40
330,0.9447100758552551,0,13,10,0,18,4,52
330,0,7.383693695068359,0,0,0,11,0,40
340,0.9852380752563477,0,14,8,0,16,7,52
340,0,6.891359806060791,0,0,0,11,0,39
350,1.01264488697052,0,17,8,0,11,5,52
350,0,6.457892417907715,0,0,0,15,0,37
360,0.9394487142562866,0,18,9,0,10,3,51
360,0,7.253990173339844,0,0,0,14,0,39
370,1.071539044380188,0,17,6,0,14,4,54
370,0,7.724672317504883,0,0,0,15,0,41
380,0.6977433562278748,0,19,5,0,11,7,52
380,0,6.866936683654785,0,0,0,14,0,38
390,0.6216673851013184,0,15,7,0,18,6,53
390,0,6.84041690826416,0,0,0,13,0,39
400,0.9368212819099426,0,11,12,0,18,3,51
400,0,7.3614935874938965,0,0,0,12,0,39
410,0.8826620578765869,0,15,10,0,10,6,52
410,0,6.979655742645264,0,0,0,14,0,37
420,0.6307615041732788,0,17,6,0,12,8,54
420,0,7.374182224273682,0,0,0,12,1,38
430,0.8177465200424194,0,20,7,0,10,4,52
430,0,7.513645172119141,0,0,0,14,1,40
440,0.8140392303466797,0,17,6,0,14,5,52
440,0,7.357477188110352,0,0,0,13,1,38
450,0.5856823921203613,0,19,5,0,14,6,52
450,0,7.368194580078125,0,0,0,13,1,39
460,0.9542017579078674,0,15,8,0,11,6,52
460,0,7.491930961608887,0,0,0,10,1,40
470,0.6067225933074951,0,19,7,0,13,5,51
470,0,7.6424880027771,0,0,0,13,1,40
480,0.9805319905281067,0,16,14,0,6,4,52
480,0,7.347886562347412,0,0,0,10,1,40
