Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,21.80551528930664,0,0,5,0,10,19,52
0,0,21.35432243347168,0,5,0,9,17,49
10,8.652237892150879,0,4,7,0,4,31,52
10,0,17.779630661010742,0,5,0,6,10,51
20,4.596962928771973,0,6,9,0,9,20,51
20,0,11.837096214294434,0,1,0,9,2,49
30,2.9766464233398438,0,7,7,0,9,19,52
30,0,9.776300430297852,0,0,0,9,0,51
40,2.4187207221984863,0,9,5,0,8,16,52
40,0,9.687262535095215,0,0,0,10,0,50
50,1.8264161348342896,0,8,7,0,11,13,52
50,0,10.192549705505371,0,0,0,8,0,52
60,1.5552687644958496,0,7,9,0,14,12,51
60,0,9.04058837890625,0,1,0,10,0,48
70,1.522357702255249,0,10,9,0,10,9,51
70,0,9.323549270629883,0,0,0,11,0,51
80,1.4334385395050049,0,12,8,0,8,10,52
80,0,8.874093055725098,0,1,0,8,0,48
90,1.5024631023406982,0,11,9,0,11,9,51
90,0,9.82828426361084,0,1,0,7,0,51
100,1.9554164409637451,0,12,11,0,12,5,53
100,0,8.762434005737305,0,1,0,6,0,48
110,1.5333678722381592,0,8,14,0,14,3,51
110,0,8.965803146362305,0,1,0,10,0,48
120,1.5392142534255981,0,11,13,0,9,6,53
120,0,8.821534156799316,0,0,0,12,0,49
130,1.3086682558059692,0,10,15,0,11,6,53
130,0,10.218475341796875,0,0,0,8,0,52
140,1.0406460762023926,0,14,12,0,12,7,52
140,0,9.366801261901855,0,0,0,10,0,48
150,1.2484053373336792,0,12,15,0,13,4,53
150,0,9.701577186584473,0,0,0,13,0,52
160,1.4044979810714722,0,12,14,0,12,6,53
160,0,8.849784851074219,0,0,0,13,0,50
170,0.96260666847229,0,15,15,0,10,3,52
170,0,9.317622184753418,0,0,0,11,0,49
180,1.0357184410095215,0,18,9,0,11,3,50
180,0,8.48927116394043,0,0,0,9,0,48
190,1.3123855590820312,0,17,11,0,12,4,52
190,0,9.15206241607666,0,0,0,12,0,49
200,1.2627285718917847,0,12,15,0,12,3,51
200,0,9.748416900634766,0,0,0,11,0,50
210,0.9368501901626587,0,15,14,0,11,2,53
210,0,8.956321716308594,0,1,0,10,0,47
220,1.158986210823059,0,12,15,0,10,5,52
220,0,8.629417419433594,0,1,0,10,0,48
230,1.0381336212158203,0,19,11,0,10,4,53
230,0,9.5106201171875,0,0,0,8,0,48
240,0.9719348549842834,0,19,11,0,8,5,52
240,0,9.778539657592773,0,1,0,5,0,51
250,0.8130266070365906,0,14,15,0,15,3,52
250,0,8.73724365234375,0,0,0,11,0,48
260,1.0367661714553833,0,20,6,0,13,4,52
260,0,9.182631492614746,0,0,0,10,0,50
270,0.9286726713180542,0,16,11,0,12,5,52
270,0,8.788911819458008,0,0,0,13,0,50
280,1.0489367246627808,0,16,15,0,11,2,53
280,0,9.321881294250488,0,1,0,12,0,51
290,1.063939094543457,0,15,15,0,11,2,52
290,0,8.588149070739746,0,0,0,11,1,48
300,1.160073161125183,0,18,9,0,14,4,51
300,0,8.678244590759277,0,1,0,8,0,46
310,1.1343164443969727,0,13,12,0,14,5,52
310,0,8.895827293395996,0,0,0,10,1,48
320,0.8797058463096619,0,15,14,0,11,4,51
320,0,9.461247444152832,0,1,0,9,0,51
330,0.8485034704208374,0,18,10,0,11,5,52
330,0,8.77657699584961,0,1,0,10,0,47
340,1.0303540229797363,0,16,12,0,13,4,53
340,0,10.391481399536133,0,0,0,9,1,53
350,0.7697402238845825,0,15,10,0,17,4,54
350,0,9.55686092376709,0,1,0,9,1,49
360,0.6578009128570557,0,18,12,0,11,5,52
360,0,8.703350067138672,0,1,0,10,1,46
370,0.6252960562705994,0,16,13,0,12,3,52
370,0,9.698785781860352,0,0,0,9,1,51
380,0.8154081106185913,0,17,9,0,14,4,52
380,0,9.201972007751465,0,1,0,12,1,48
390,0.7935153245925903,0,23,6,0,12,4,52
390,0,9.065383911132812,0,1,0,10,2,47
400,0.9050976634025574,0,22,7,0,12,4,52
400,0,9.514032363891602,0,1,0,10,0,47
410,0.9147194623947144,0,18,10,0,9,6,52
410,0,9.2064847946167,0,0,0,11,2,50
420,0.9456242322921753,0,15,10,0,13,5,52
420,0,9.305828094482422,0,0,0,11,1,49
430,0.7712714672088623,0,17,12,0,10,5,51
430,0,9.365706443786621,0,1,0,11,1,48
440,0.8452174663543701,0,18,7,0,12,6,52
440,0,9.244071960449219,0,0,0,11,1,47
450,0.6086087822914124,0,21,7,0,14,3,54
450,0,9.732297897338867,0,0,0,9,1,50
460,0.6396600008010864,0,19,10,0,9,7,52
460,0,8.799293518066406,0,1,0,9,1,49
470,0.8480749130249023,0,20,9,0,8,6,52
470,0,10.142206192016602,0,0,0,10,1,54
480,0.753406286239624,0,16,7,0,16,6,51
480,0,9.682601928710938,0,1,0,10,1,50
490,0.8696463704109192,0,22,3,0,11,7,52
490,0,9.766031265258789,0,1,0,12,0,50
500,0.7833104133605957,0,18,11,0,11,4,52
500,0,9.744848251342773,0,0,0,9,0,49
510,0.833358883857727,0,14,12,0,15,5,51
510,0,9.33665657043457,0,1,0,10,0,49
520,0.792158842086792,0,19,11,0,12,4,52
520,0,9.653204917907715,0,1,0,8,1,49
530,0.6214510202407837,0,18,12,0,8,5,50
530,0,9.982979774475098,0,1,0,12,1,53
540,0.6833517551422119,0,17,10,0,13,4,50
540,0,10.0928316116333,0,1,0,10,1,51
550,0.7161970138549805,0,20,8,0,12,4,50
550,0,10.530969619750977,0,1,0,13,2,52
560,0.42212650179862976,0,20,9,0,12,4,50
560,0,8.711109161376953,0,0,0,9,1,46
570,0.4507504105567932,0,24,8,0,14,2,52
570,0,9.833391189575195,0,1,0,10,2,49
580,0.6618112325668335,0,19,8,0,16,4,51
580,0,10.698781967163086,0,1,0,7,3,49
590,0.5262265205383301,0,23,7,0,13,4,54
590,0,9.877649307250977,0,2,0,10,1,49
600,0.6568462252616882,0,18,10,0,10,6,51
600,0,9.813931465148926,0,2,0,8,1,49
610,0.8282201290130615,0,17,8,0,13,6,53
610,0,9.654417037963867,0,2,0,9,1,49
620,0.5991219878196716,0,19,10,0,15,3,52
620,0,10.120308876037598,0,1,0,8,2,48
630,0.618205726146698,0,19,10,0,15,3,52
630,0,11.087284088134766,0,1,0,10,1,50
640,0.8237618803977966,0,15,12,0,15,4,52
640,0,10.038631439208984,0,2,0,9,0,46
650,0.6209828853607178,0,19,8,0,12,6,52
