Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes,TP_class_loca_good,FP_class_bad_IOU_good,FP_class_good_IOU_bad,FP_class_IOU_good,FN_class_good_IOU_bad,FN_class_bad_IOU_good,FN_class_bad_IOU_bad
1,12.482915950520834,9.743721689648492,124,460,1499,757,6029,124,0,8258,0,1217,217,4471
2,8.693976458740234,7.718963770365299,116,330,1581,614,5986,116,0,6409,0,944,249,4677
3,6.851580625406901,6.198282734063138,67,169,1776,335,5941,67,0,3937,0,504,289,5081
4,5.7395100402832036,5.377969892681021,73,168,1764,266,5961,73,0,2867,0,434,329,5125
5,5.106261590576172,4.972283786528623,53,90,1827,120,5912,53,0,3012,0,210,340,5309
6,4.6389589116414385,4.630738246675499,60,74,1928,90,5977,60,0,2694,0,164,328,5425
7,4.352302922058105,4.336660650375825,64,73,1864,82,5969,64,0,2142,0,155,342,5408
8,4.111492328898112,4.21723453395658,37,62,1909,68,5991,37,0,1943,0,130,356,5468
9,3.7903215087890625,3.5921105608991475,26,48,1906,27,5932,26,0,98,0,75,374,5457
10,3.5132959360758464,3.5630940912914593,52,56,1882,31,5990,52,0,129,0,87,326,5525
11,3.421726252746582,3.459858264349404,32,36,1945,37,5944,32,0,71,0,73,371,5468
12,3.363869569905599,3.441580307426127,19,63,1857,55,5962,19,0,146,0,118,370,5455
13,3.3225881622314453,3.387564248681024,33,45,1919,57,5979,33,0,106,0,102,383,5461
14,3.2908340861002605,3.348376297835652,41,71,1907,41,5972,41,0,103,0,112,364,5455
15,3.246990148417155,3.3574161246236356,55,56,1940,48,5979,55,0,148,0,104,357,5463
16,3.2410225891113282,3.3662776847864855,40,65,1965,34,6037,40,0,108,0,99,372,5526
17,3.212574651590983,3.324184541316268,46,87,1882,48,5963,46,0,137,0,135,354,5428
18,3.2023065216064452,3.312276086265431,39,80,1927,57,6010,39,0,150,0,137,386,5448
19,3.186281704711914,3.3017957299958804,49,81,1911,57,5959,49,0,186,0,138,380,5392
20,3.177721497853597,3.306644752040655,54,71,1921,40,5975,54,0,133,0,111,358,5452
21,3.1488651011149087,3.2564982539253786,43,97,1902,69,5956,43,0,198,0,166,376,5371
22,3.153072422281901,3.2764116217113544,53,107,1893,64,5977,53,0,146,0,171,354,5399
23,3.156511553446452,3.3482968117550675,63,98,1833,88,6020,63,0,189,0,186,350,5421
24,3.11554719543457,3.262291737218971,63,92,1856,57,5985,63,0,153,0,149,386,5387
25,3.1226328346252443,3.257564997256931,56,106,1967,59,5927,56,0,153,0,165,342,5364
26,3.0900651341756187,3.281860793163641,72,88,1932,66,6022,72,0,142,0,154,371,5425
27,3.0860885045369466,3.2930743758934296,53,97,1899,82,6047,53,0,134,0,179,379,5436
28,3.097601534525553,3.294404388580719,62,110,1892,75,5980,62,0,176,0,185,369,5364
29,3.0763764572143555,3.2793291313604844,79,118,1907,73,5983,79,0,151,0,191,346,5367
30,3.0718400604248046,3.273465928560378,79,104,1891,72,5989,79,0,162,0,176,333,5401
31,3.0664838068644205,3.250583825747054,58,95,1941,84,5938,58,0,139,0,179,351,5350
32,3.0602256693522136,3.2846516596089055,58,112,1879,73,5973,58,0,174,0,185,372,5358
33,3.0497712275187174,3.307589960505517,35,80,1931,62,6003,35,0,142,0,142,368,5458
34,3.0455252253214518,3.2561371042256546,73,93,1943,94,5971,73,0,174,0,187,348,5363
35,3.0365953099568683,3.2688583738069927,65,84,1882,60,5998,65,0,136,0,144,409,5380
36,3.0133260553995767,3.2706890113283786,73,90,1857,86,5979,73,0,157,0,176,352,5378
37,3.023295481872559,3.3098583943862434,66,86,1812,64,5987,66,0,164,0,150,363,5408
38,3.0241517868041994,3.3106091765280863,54,115,1875,68,6011,54,0,156,0,183,343,5431
39,3.0078861389160156,3.2933291206119053,55,105,1854,69,5982,55,0,203,0,174,369,5384
40,3.005862410481771,3.2549531039277992,78,87,2001,76,5983,78,0,153,0,163,320,5422
41,3.0065526580810547,3.248717731939033,76,134,1792,106,5956,76,0,195,0,240,383,5257
42,2.9878844797770183,3.308705116354131,72,124,1855,100,6032,72,0,187,0,224,326,5410
43,2.9826892598470054,3.312677192192205,86,162,1886,121,6030,86,0,266,0,283,340,5321
44,2.9713076395670575,3.32143799859354,63,110,1868,108,6006,63,0,217,0,218,365,5360
45,2.9768025767008464,3.2313055285635466,78,140,1853,107,5950,78,0,211,0,247,340,5285
46,2.9693288683573407,3.329791574021321,62,128,1861,98,6032,62,0,213,0,226,375,5369
47,2.9614338317871094,3.3321460694838225,78,106,1925,86,6054,78,0,204,0,192,351,5433
